"Stop ID","Stop Name","Latitude","Longitude","2022_Avg_Board","2022_Avg_Alight","2022_Max_Number_of_Days","2023_Avg_Board","2023_Avg_Alight","2023_Max_Number_of_Days","2021_Avg_Board","2021_Avg_Alight","2021_Max_Number_of_Days","2020_Avg_Board","2020_Avg_Alight","2020_Max_Number_of_Days","2019_Avg_Board","2019_Avg_Alight","2019_Max_Number_of_Days","2018_Avg_Board","2018_Avg_Alight","2018_Max_Number_of_Days","2017_Avg_Board","2017_Avg_Alight","2017_Max_Number_of_Days","Nearest_In","routes","Direction","Trans_P","Frequency_AM_Peak","Frquency_Midday","Frequency_PM_Peak","Frequency_Evening","Frequency_Late_Night"
"27590","Sharon Amity Rd & Night Heron Ln",35.1787233,-80.7910984,0.75,0.916666667,27,3.272727273,3.545454545,27,0.916666667,1.166666667,27,1.25,1,27,7.083333333,3.916666667,27,10,7.916666667,27,18.91666667,15.5,27,"NIGHT HERON & WATER OAK","28","inbound","not a transfer point",0,1,1,0,0
"27600","Sharon Amity Rd & Crosby Rd",35.1725136,-80.8060066,11.75,2.416666667,27,19.72727273,5.090909091,27,9.916666667,2.916666667,27,15,8.666666667,27,36.08333333,16.5,27,42.91666667,24.41666667,27,77.75,59,27,"CROSBY & PROVIDENCE","28","outbound","not a transfer point",1,1,1,0,0
"27633","Sharon Amity Rd & Lyttleton Dr",35.177192,-80.783812,8.333333333,22.08333333,27,4.363636364,21,27,5.416666667,17.41666667,27,6.75,22,27,43.91666667,52.41666667,27,28.75,35,27,35.91666667,49.16666667,27,"WINDEMERE & LYTTLETON","28","not applicable","not a transfer point",1,1,1,0,0
"27635","Sharon Amity Rd & Lyttleton Dr",35.178152,-80.7851705,16.08333333,2.416666667,27,20.72727273,9.454545455,27,15.08333333,2.75,27,10.75,1.833333333,27,17.91666667,5.833333333,27,20.5,2.916666667,27,20.58333333,8.083333333,27,"WINDEMERE & LYTTLETON","28","not applicable","not a transfer point",0,1,1,0,0
"27650","Sharon Amity Rd & Tangle Dr",35.1785471,-80.779713,9.333333333,4.833333333,27,13.27272727,4.636363636,27,9.75,7.25,27,14.5,10.66666667,27,33.66666667,52.58333333,27,49.5,37.33333333,27,48.91666667,42.66666667,27,"TANGLE & CASTLETON","28","inbound","not a transfer point",0,1,1,0,0
"27660","Sharon Amity Rd & Delane Ave",35.1816501,-80.7765308,70.83333333,45.5,27,41.09090909,40,27,45.25,42.5,27,57,51,27,68.91666667,62.91666667,27,60.08333333,65,27,24.75,52.16666667,27,"DELANE & MONTAGUE","28","outbound","not a transfer point",1,2,2,0,0
"27670","Sharon Amity Rd & Delane Ave",35.1816548,-80.7766603,2.25,0.583333333,27,40.72727273,26.54545455,27,1.416666667,1.833333333,27,6.333333333,5.75,27,89.83333333,57.66666667,27,63.08333333,58.66666667,27,93.83333333,61,27,"DELANE & MONTAGUE","28","inbound","not a transfer point",0,1,1,0,0
"27690","Sharon Amity Rd & Montague St",35.1854466,-80.7750828,11.16666667,2.916666667,27,9.818181818,2.909090909,27,9,3.416666667,27,16.41666667,3.833333333,27,29.66666667,9,27,38.91666667,18.5,27,23.25,15.08333333,27,"MONTAGUE & KELLY","28","inbound","not a transfer point",0,1,1,0,0
"27700","Sharon Amity Rd & Monroe Rd",35.1887261,-80.7729095,139.75,169.9166667,27,105.7272727,154.8181818,27,143.5,150.9166667,27,141.8333333,152.3333333,27,166.8333333,239.0833333,27,141,182.4166667,27,154.3333333,180.8333333,27,"KELLY & MONROE","28","outbound","not a transfer point",1,2,2,0,0
"27730","Sharon Amity Rd & Buena Vista Ave",35.1923434,-80.769066,20.08333333,13.58333333,27,34.36363636,22.63636364,27,25.75,13.16666667,27,37.66666667,32.75,27,66.66666667,49.91666667,27,78.83333333,47.66666667,27,113.25,57.83333333,27,"BUENA VISTA & SHARON AMITY","28","outbound","not a transfer point",1,2,2,0,0
