Stop ID,Stop Name,Latitude,Longitude,2022_Avg_Board,2022_Avg_Alight,2022_Max_Number_of_Days,Year
14240,Lawyers Rd & Old Lawyers Rd,35.2005181,-80.722514,51.75,28.08333333,31,2022
14260,Leake St & Nobles Ave,35.209458,-80.9182661,73,154.1666667,31,2022
14270,Leake St & West Blvd,35.2078325,-80.9174806,121.5833333,243.1666667,31,2022
14335,Little Rock Rd & Tuckaseegee Rd,35.245245,-80.937138,448.6666667,629.25,31,2022
14340,Little Rock Rd & I-85,35.2436951,-80.9377833,168.1666667,174.3333333,31,2022
14415,Longleaf Dr & South Blvd,35.1107471,-80.8817265,2.5,4.5,31,2022
14420,Longleaf Dr & South Blvd,35.1107287,-80.8817348,10.5,6,31,2022
14440,Longleaf Dr @ 1606,35.1113705,-80.8781264,0,0,31,2022
14460,Longleaf Dr & Lodgepole Pl,35.1118116,-80.8754438,0,0,31,2022
14470,Longleaf Dr & Spruce Pine Pl,35.1115976,-80.8729969,0,0,31,2022
14480,Longleaf Dr & Timberline Rd,35.1108583,-80.8715116,0,0,31,2022
14500,Longleaf Dr & Greyleaf Pl,35.1094436,-80.873572,0,0,31,2022
14520,Longleaf Dr & Longleaf Dr,35.1111343,-80.8760133,0,0,31,2022
14610,Mallard Creek Church Rd & Tryon St,35.3204755,-80.7322828,44.58333333,26.91666667,31,2022
14630,Tryon St & Mallard Creek Church Rd,35.3204565,-80.7348635,16.33333333,75.16666667,31,2022
14635,Mallard Creek Church Rd & Tryon St,35.3205156,-80.7327446,16.83333333,17.91666667,31,2022
14640,Mallard Creek Church Rd & Alexander Glen Dr,35.3185221,-80.7292026,4.166666667,24.41666667,31,2022
14650,Mallard Creek Church Rd & Mary Alexander Rd,35.3167873,-80.7260983,18.25,43.33333333,31,2022
14700,Van Landingham Rd & John Kirk Dr,35.3071873,-80.7249101,94.58333333,38.33333333,27,2022
14710,John Kirk & University Terrace,35.308606,-80.723792,16.58333333,8.583333333,31,2022
14870,Marvin Rd & Wendover Rd,35.1904851,-80.7985375,124.6666667,90.75,31,2022
14880,Marvin Rd & Billingsley Rd,35.1913691,-80.7989048,79.75,33.75,31,2022
15000,Albemarle Rd & Central Av,35.203259,-80.7460927,46.33333333,213.8333333,31,2022
15150,Milan Rd East & Otwell Ct,35.2864113,-80.8705261,2.333333333,3.916666667,31,2022
15160,Milan Rd East & Braden Dr,35.2868211,-80.8683558,70.91666667,17.16666667,31,2022
15210,Milan Rd & Big River Rd,35.2909476,-80.8728713,79.75,77.16666667,31,2022
15310,Milton Rd & Tipperary Pl,35.2415953,-80.7499891,27.16666667,19.08333333,31,2022
15320,Milton Rd & Oak Forest Dr,35.2401738,-80.7488184,12.75,45,31,2022
15360,Milton Rd & Briarhill Dr,35.2393855,-80.7481745,17.75,53.91666667,31,2022
15370,Milton Rd & Briarhill Dr,35.2391618,-80.7478038,91.25,26.66666667,31,2022
15390,Milton Rd & Meadowcliff Dr,35.2380349,-80.7469725,22.58333333,115.1666667,31,2022
15400,Milton Rd & Mendham Dr,35.2377118,-80.7457045,592.75,86.91666667,31,2022
15440,Milton Rd & Barrington Dr,35.237544,-80.7443621,73.58333333,291.5833333,31,2022
15480,Milton Rd & Sharon Amity Rd,35.2370671,-80.7405331,238.9166667,448.4166667,31,2022
15500,Milton Rd & Sharon Amity Rd,35.2371087,-80.7390944,1143.416667,496.4166667,31,2022
15510,Milton Rd & Sharon Amity Rd,35.2367751,-80.737117,312.75,725.75,31,2022
15760,Monroe Rd & Montrose St,35.204334,-80.8085091,78.08333333,190.75,31,2022
15770,Monroe Rd & Dunn Ave,35.2044371,-80.8084491,168.75,43,31,2022
15780,Monroe Rd & Puhlman St,35.2042022,-80.805097,19.83333333,112.8333333,31,2022
15790,Monroe Rd & Colonnade Dr,35.2043198,-80.8041531,45.58333333,8.833333333,31,2022
15800,Monroe Rd & Alcott St,35.204071,-80.802449,131.0833333,359.25,31,2022
15810,Monroe Rd & Briar Creek Rd,35.2042208,-80.8023751,415.8333333,129,31,2022
15820,Monroe Rd & Washburn Ave,35.2031406,-80.8004241,110.0833333,317.9166667,31,2022
15830,Monroe Rd & Fortune St,35.2025068,-80.7993968,309,72,31,2022
15850,Monroe Rd & Chipley Ave,35.2010321,-80.7977245,88.08333333,194.0833333,31,2022
15855,Monroe Rd & Chipley Ave,35.201338,-80.797878,217.5,87.25,31,2022
15880,Monroe Rd & Buford Ave,35.1990771,-80.7949558,105.25,41.08333333,31,2022
15890,Monroe Rd & Oak Grove Rd,35.1987169,-80.7946104,30.58333333,124.4166667,31,2022
15900,Monroe Rd & Wendover Rd,35.1972328,-80.7919106,434.25,289.8333333,31,2022
15910,Monroe Rd & Wendover Rd,35.1960788,-80.7903986,468.9166667,722.4166667,31,2022
15930,Monroe Rd & McAlway Rd,35.1948516,-80.788128,153.4166667,168.6666667,31,2022
15950,Monroe Rd & Commonwealth Ave,35.1943738,-80.7846252,174.8333333,50.25,31,2022
15960,Monroe Rd & Commonwealth Ave,35.1942316,-80.7849623,64.08333333,197.8333333,31,2022
15980,Monroe Rd & Chippendale Rd,35.1936426,-80.7824231,75.16666667,382.25,31,2022
16000,Monroe Rd & Chippendale Rd,35.1935994,-80.7818856,437.9166667,146.5,31,2022
16010,Monroe Rd & Commodore St,35.1926996,-80.7801466,56.91666667,57,31,2022
16030,Monroe Rd & Ross Moore Ave,35.1912265,-80.7766063,43.33333333,146.4166667,31,2022
16040,Monroe Rd & Eaton Rd,35.191097,-80.7760111,150.5,42.58333333,31,2022
16090,Monroe Rd & McMullen Way,35.1869537,-80.7668382,41.58333333,34.08333333,31,2022
16091,Monroe Rd & McMullen Way,35.1868809,-80.7662488,12.08333333,9.916666667,31,2022
16100,Monroe Rd & Ashmore Dr,35.1863311,-80.7652697,120.4166667,366.25,31,2022
16120,Monroe Rd & Ashmore Dr,35.1861163,-80.7643221,517.1666667,108,31,2022
16130,Monroe Rd & Idlewild Rd,35.1848165,-80.7624592,92.58333333,469.1666667,31,2022
16140,Monroe Rd & Long Ave,35.1848537,-80.7622774,407.0833333,101.5,31,2022
16150,Monroe Rd & Bainbridge Rd,35.1830397,-80.7595981,483.5,132,31,2022
16160,Monroe Rd & Bainbridge Rd,35.1832424,-80.7600488,140.0833333,367.1666667,31,2022
16190,Monroe Rd & Old Post Rd,35.1790948,-80.757022,54.75,213.9166667,31,2022
16200,Monroe Rd & Old Post Rd,35.1787631,-80.7568261,261.5,99.58333333,31,2022
16230,Monroe Rd & Conference Dr,35.177195,-80.7566293,131.5,308.0833333,31,2022
16240,Monroe Rd & Eaglewood Ave,35.1739581,-80.7568571,38.25,29.75,31,2022
16250,Monroe Rd & McLaughlin Dr,35.1737319,-80.757042,47,81.33333333,31,2022
16260,Monroe Rd & Wallace Ln,35.1753465,-80.7565285,304.75,85.91666667,31,2022
16290,Monroe Rd & Pinafore Dr,35.1705483,-80.7566181,10,27.16666667,31,2022
16300,Monroe Rd & Burtonwood Cir,35.1711185,-80.7566891,9.583333333,9.333333333,31,2022
16310,Monroe Rd @ Mason Wallace Park,35.1682193,-80.7557569,58,11.16666667,31,2022
16320,Monroe Rd & Woodberry Rd,35.1671421,-80.7555336,43.66666667,68.08333333,31,2022
16350,Monroe Rd & Painter Pl,35.1653346,-80.7546023,15.75,19.25,31,2022
16351,Monroe Rd & Fox Run Dr,35.165542,-80.754574,53.25,30.5,31,2022
16360,Monroe Rd & Lumarka Dr,35.1628221,-80.7527616,236.9166667,138.4166667,31,2022
16370,Monroe Rd & Chasewood Dr,35.1625081,-80.752749,125.5,184.8333333,31,2022
16380,Monroe Rd & Renard Ridge Rd,35.1607383,-80.7516018,11.75,34.25,31,2022
16390,Monroe Rd & Renard Ridge Rd,35.1608392,-80.7514817,17.41666667,11.41666667,31,2022
16400,Monroe Rd & Village Lake Dr,35.1566356,-80.7490006,136.75,514.5,31,2022
16410,Monroe Rd & Village Lake Dr,35.1580793,-80.7496321,446.8333333,144.4166667,31,2022
16420,Monroe Rd & McAlpine Station Dr,35.1553401,-80.7481711,261.5833333,461.9166667,31,2022
16430,Monroe Rd & Timber Springs Dr,35.1552449,-80.7478172,714.4166667,206,31,2022
16450,Monroe Rd @ 8516,35.1534766,-80.746957,22.16666667,61.66666667,31,2022
16480,Monroe Rd @ 8539,35.1532923,-80.7465971,39.33333333,40.75,31,2022
16490,Monroe Rd & Covedale Dr,35.1474691,-80.7450931,24.08333333,136.6666667,31,2022
16510,Monroe Rd & Covedale Dr,35.1469043,-80.7443306,163.8333333,21.58333333,31,2022
16520,Monroe Rd @ Greylyn Park,35.1452043,-80.7426455,113.6666667,15.91666667,31,2022
16521,Monroe Rd & Orchard Lake Dr,35.145086,-80.74283,5.75,89.58333333,31,2022
16540,Monroe Rd & Orchard Lake Dr,35.1436208,-80.7414104,28.91666667,119,31,2022
16550,Monroe Rd & Delmar Office Dr,35.1422223,-80.7403419,53.08333333,10.66666667,31,2022
16560,Monroe Rd & Orchard Lake Dr,35.1421709,-80.7405196,4.416666667,38.83333333,31,2022
16580,Monroe Rd & Sardis Rd North,35.1400998,-80.7395738,78.41666667,888.8333333,31,2022
16600,Monroe Rd & Sardis Rd North,35.1397934,-80.7392458,1076.666667,99.33333333,31,2022
16610,Monroe Rd & Galleria Blvd,35.134031,-80.7364099,152.9166667,65.66666667,31,2022
16620,Monroe Rd @ Family Dollar,35.1314933,-80.7349998,148.5,48.5,31,2022
16630,Monroe Rd @ 10701,35.128247,-80.7316905,110.4166667,39.83333333,31,2022
16640,Monroe Rd & Lois St,35.1208856,-80.7279834,169.9166667,35.33333333,31,2022
16650,Monteith Dr & Canterwood Dr,35.2743196,-80.7741718,12.66666667,14.25,31,2022
16690,Morris Field Dr & Seymour,35.220047,-80.915033,2.75,15.91666667,27,2022
16691,Morris Field Dr & Seymour Dr,35.220066,-80.91483,30.75,7.083333333,27,2022
16770,Carnegie Blvd @ 6337,35.1558944,-80.8327356,135.8333333,12.16666667,27,2022
16790,Carnegie Blvd & Roxborough Rd,35.154261,-80.8295373,67.16666667,96.66666667,31,2022
16800,Carnegie Blvd & Sharon Rd,35.1533528,-80.827756,106,403.0833333,31,2022
16840,Carnegie Blvd @ Double Tree,35.1555885,-80.8325368,16.08333333,169.3333333,27,2022
16890,Carnegie Blvd & Sharon Rd,35.153798,-80.8289638,219.3333333,183,31,2022
16990,Mulberry Ave & Miles Ct,35.2526224,-80.8508835,1.833333333,13.58333333,31,2022
17000,Mulberry Ave & Miles Ct,35.2526418,-80.8509706,26.75,3.666666667,31,2022
17020,Mulberry Church Rd & Tuckaseegee Rd,35.243866,-80.9197553,194.75,27.83333333,31,2022
17050,Mulberry Church Rd & Queen City Dr,35.2409961,-80.9194344,1211.833333,509.9166667,31,2022
17141,Caldwell & 7th St,35.225972,-80.835754,19.25,55.16666667,31,2022
17150,Church  &  Trade St.,35.2283123,-80.8439255,51.08333333,1303.666667,31,2022
17180,Graham St & Atando Ave,35.2604691,-80.8200291,20.25,60.83333333,31,2022
17200,Davidson St & 5th St,35.2240331,-80.8365286,19.91666667,38.08333333,31,2022
17210,Davidson St & 6th St,35.2247331,-80.8356066,93.08333333,94.91666667,31,2022
17220,Davidson St & 9th St,35.2262421,-80.8332283,30.08333333,36.08333333,31,2022
17230,Davidson St & 8th St,35.2258273,-80.8340763,29.33333333,41.16666667,31,2022
17240,Davidson St & 10th St,35.2280035,-80.8310241,48.66666667,31.91666667,31,2022
17250,Davidson St & 11th St,35.2277818,-80.8311163,27.41666667,44.33333333,31,2022
17260,Davidson St & 12th St,35.2289283,-80.8296938,430.75,216.6666667,31,2022
17270,Davidson St & 12th St,35.2288451,-80.829558,200.9166667,540.6666667,31,2022
17290,Davidson St & Belmont Ave,35.2311876,-80.8263213,13.41666667,28.75,31,2022
17300,Davidson St & Belmont Ave,35.2315106,-80.8260171,22.83333333,19.08333333,31,2022
17330,Davidson St & 16th St,35.2327808,-80.8241469,13.91666667,40.66666667,31,2022
17340,Davidson St & 16th St,35.2328335,-80.8241716,29.75,14.5,31,2022
17400,Davidson St & 19th St,35.2343766,-80.8218665,22.41666667,53,31,2022
17420,Davidson St & 19th St,35.2350416,-80.8211188,49.66666667,27.33333333,31,2022
17450,Davidson St & 21st St,35.2358083,-80.8199173,29.75,22.41666667,31,2022
17480,Davidson St & 22nd St,35.2368803,-80.8185743,2,3.166666667,31,2022
17490,Davidson St & 25th St,35.2389534,-80.8159325,164.1666667,328.1666667,31,2022
17500,Davidson St & 25th St,35.2394936,-80.8153206,268.75,113.25,31,2022
17520,Davidson St & 26th St,35.2399871,-80.8145975,9.333333333,22.66666667,31,2022
17540,Davidson St & 28th St,35.2419413,-80.8122363,17.33333333,18,31,2022
17550,Davidson St & 28th St,35.2417833,-80.8122781,13.83333333,26.83333333,31,2022
17580,Davidson St & 32nd St,35.2449463,-80.8092609,6.75,14.75,31,2022
17620,Davidson St & 33rd St,35.2458781,-80.8077666,0.166666667,0.25,31,2022
17630,Davidson & 35th,35.2467726,-80.8061963,52,16.33333333,31,2022
17640,Davidson St & 36th St,35.2474336,-80.8050898,80.83333333,221.25,31,2022
17641,Davidson St & 36th St (BusBridge-SB),35.247513,-80.804977,9,5,2,2022
17660,Davidson St & 36th St,35.2474951,-80.8048646,124.75,80.25,31,2022
17661,Davidson St & 36th St (BusBridge-NB),35.247444,-80.804908,18,19,2,2022
17670,Graham St & 5th St,35.2312545,-80.8459703,118.9166667,56.66666667,31,2022
17671,5th & Graham,35.231465,-80.84606,54.91666667,87.25,31,2022
17672,Graham St & 6th St,35.2319495,-80.8450054,114,116.3333333,31,2022
17675,Graham St & 7th St,35.233151,-80.8434001,71.41666667,95.33333333,31,2022
17680,Graham St & 9th St,35.2340018,-80.8422776,101,121.8333333,31,2022
17690,Graham St & Dalton Ave,35.2408175,-80.8350036,93.41666667,176.9166667,31,2022
17700,Graham St & Armour Dr,35.2420284,-80.8339437,23.91666667,28.16666667,31,2022
17720,Graham St & Sylvania Ave,35.2438301,-80.832672,2.333333333,5.75,31,2022
17730,Graham St & Sylvania Ave,35.2437308,-80.8326376,19.66666667,102.75,31,2022
17740,Graham St & Keswick Ave,35.2447218,-80.8319885,87.08333333,39.5,31,2022
17760,Graham St & Wolfberry St,35.2455263,-80.831264,9.5,66.41666667,31,2022
17780,Graham St & 24th St,35.2475031,-80.8297573,109.25,339.25,31,2022
17790,Graham St & Wolfberry St,35.245716,-80.831216,1.25,3.916666667,31,2022
17800,Graham St & Concordia Ave,35.2497715,-80.8281359,99.5,26.41666667,31,2022
17810,Graham St & 24th St,35.2473501,-80.8299906,297.5833333,76.16666667,31,2022
17820,Graham St & Concordia Ave,35.2494706,-80.8282643,11.75,87.91666667,31,2022
17830,Graham St & Franklin Av,35.2513224,-80.8270574,690.4166667,106,31,2022
